THROUGHPUT,Mpps,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Sample,1,2,3,4,5,6,7,8,9,10,11,12,,,Average,Slowdown
No Validation,10.8,35.17,66.3,70.19,70,69.95,69.87,69.85,69.9,69.9,69.91,69.96,,No Validation,69.583,
IP Header Check,11.84,34.73,63.81,63.87,63.69,63.69,63.69,63.62,63.78,63.81,63.88,63.86,,IP Header Check,63.77,1.091
IP Checksum,21.34,28.28,54.26,54.61,54.48,54.84,54.7,54.82,54.81,54.9,54.89,54.71,,IP Checksum,54.702,1.272
TCP/UDP Header,21.82,31.65,54.46,54.49,54.29,54.38,54.43,54.47,54.46,54.32,54.45,54.43,,TCP/UDP Header,54.418,1.279
TCP/UDP Checksum,42.15,22.38,36.41,36.29,36.29,36.29,36.31,36.28,36.28,36.27,36.27,36.3,,TCP/UDP Checksum,36.299,1.917
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
LATENCY,nanoseconds,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Sample,1,2,3,4,5,6,7,8,9,10,11,12,,,Average,Slowdown
No Validation,19.73,19.71,15.23,13.42,12.54,12.01,11.67,11.42,11.23,11.09,10.97,10.88,,No Validation,12.046,
IP Header Check,21.88,20.97,16.08,14.4,13.56,13.05,12.71,12.47,12.28,12.13,12.02,11.92,,IP Header Check,13.062,1.08434335
IP Checksum,39.55,38.76,29.43,26.21,24.62,23.63,22.98,22.51,22.16,21.88,21.66,21.49,,IP Checksum,23.657,1.963888428
TCP/UDP Header,40.37,37.44,29.2,26.3,24.84,23.95,23.35,22.91,22.58,22.34,22.13,21.96,,TCP/UDP Header,23.956,1.988709945
TCP/UDP Checksum,77.97,70.13,55.51,50.32,47.65,46.02,44.92,44.14,43.54,43.08,42.71,42.4,,TCP/UDP Checksum,46.029,3.821102441
